date,open,close,high,low,vol,amount,date,code
2024-09-30,99.0,381.0,408.0,99.0,147218.0,2120107392.0,2024-09-30,301618
2024-10-08,500.22,505.55,689.0,350.01,130671.0,6152057344.0,2024-10-08,301618
2024-10-09,400.0,255.0,428.0,245.51,83725.0,2753245952.0,2024-10-09,301618
2024-10-10,263.0,209.08,308.0,200.0,89722.0,2232028672.0,2024-10-10,301618
2024-10-11,180.0,136.0,200.0,135.0,91938.0,1451710976.0,2024-10-11,301618
2024-10-14,130.0,142.82,145.0,123.46,68509.0,941274304.0,2024-10-14,301618
2024-10-15,139.16,159.02,168.88,137.2,80652.0,1226410112.0,2024-10-15,301618
2024-10-16,153.0,136.2,155.0,132.31,68245.0,976767040.0,2024-10-16,301618
2024-10-17,130.0,125.35,137.88,125.03,47244.0,611442624.0,2024-10-17,301618
2024-10-18,123.0,128.0,132.66,120.33,42510.0,538420672.0,2024-10-18,301618
2024-10-21,128.0,127.57,132.99,126.88,38950.0,505525408.0,2024-10-21,301618
2024-10-22,129.0,131.8,135.6,127.0,35850.0,469405088.0,2024-10-22,301618
2024-10-23,129.88,127.83,130.4,126.0,31281.0,398035296.0,2024-10-23,301618
2024-10-24,128.0,121.59,128.8,121.0,25342.0,311956448.0,2024-10-24,301618
2024-10-25,120.6,124.59,125.49,120.5,22409.0,277177920.0,2024-10-25,301618
2024-10-28,124.01,127.89,128.29,124.01,20973.0,265127856.0,2024-10-28,301618
2024-10-29,129.66,120.82,132.0,120.58,29778.0,370605440.0,2024-10-29,301618
2024-10-30,118.01,114.31,118.78,112.48,22943.0,263336272.0,2024-10-30,301618
2024-10-31,114.0,112.44,115.5,112.33,17395.0,196728800.0,2024-10-31,301618
2024-11-01,111.64,107.21,112.24,106.68,17723.0,193471648.0,2024-11-01,301618
2024-11-04,108.04,111.49,111.98,107.22,13086.0,144204784.0,2024-11-04,301618
2024-11-05,111.47,113.5,114.88,109.76,20975.0,235367520.0,2024-11-05,301618
2024-11-06,113.0,112.88,116.14,112.0,19940.0,227951984.0,2024-11-06,301618
2024-11-07,111.4,113.12,113.74,111.0,15750.0,177149328.0,2024-11-07,301618
2024-11-08,113.51,111.77,115.8,111.65,18415.0,209294032.0,2024-11-08,301618
2024-11-11,112.0,117.07,117.12,111.65,22453.0,257400208.0,2024-11-11,301618
2024-11-12,117.08,112.6,118.8,111.34,23576.0,269475872.0,2024-11-12,301618
2024-11-13,112.99,129.99,132.87,111.04,56967.0,706722432.0,2024-11-13,301618
2024-11-14,128.01,120.83,128.01,119.75,36173.0,443330272.0,2024-11-14,301618
2024-11-15,122.0,123.1,127.95,120.58,31798.0,395558080.0,2024-11-15,301618
2024-11-18,123.91,113.72,124.88,110.77,23860.0,277264128.0,2024-11-18,301618
2024-11-19,113.72,114.4,114.46,110.8,15358.0,172175392.0,2024-11-19,301618
2024-11-20,114.0,113.8,114.19,112.03,13924.0,157633408.0,2024-11-20,301618
2024-11-21,114.0,115.58,119.98,113.23,18198.0,212402224.0,2024-11-21,301618
2024-11-22,114.33,110.0,115.06,109.95,17345.0,194599440.0,2024-11-22,301618
2024-11-25,109.0,109.58,110.6,106.34,11230.0,121251472.0,2024-11-25,301618
2024-11-26,109.0,110.05,113.2,108.0,11959.0,132408680.0,2024-11-26,301618
2024-11-27,107.92,108.71,109.48,104.97,11962.0,127683104.0,2024-11-27,301618
2024-11-28,107.64,106.01,108.94,106.0,10199.0,109359104.0,2024-11-28,301618
2024-11-29,106.0,106.7,107.87,105.56,9521.0,101472048.0,2024-11-29,301618
2024-12-02,106.71,107.37,108.0,106.32,9130.0,97801096.0,2024-12-02,301618
2024-12-03,107.15,107.28,109.21,106.53,8581.0,92347712.0,2024-12-03,301618
2024-12-04,106.21,105.0,106.5,104.8,9374.0,99081992.0,2024-12-04,301618
2024-12-05,104.4,104.98,105.5,104.4,7697.0,80685480.0,2024-12-05,301618
2024-12-06,105.15,106.82,108.0,104.8,11859.0,126049792.0,2024-12-06,301618
2024-12-09,106.38,108.78,110.98,106.03,14425.0,156745136.0,2024-12-09,301618
2024-12-10,112.3,107.31,113.11,107.2,14636.0,160355552.0,2024-12-10,301618
2024-12-11,106.51,107.7,109.12,105.5,10372.0,110723096.0,2024-12-11,301618
2024-12-12,107.2,106.77,107.51,105.72,7927.0,84455976.0,2024-12-12,301618
2024-12-13,107.0,105.6,107.36,105.53,7241.0,77021032.0,2024-12-13,301618
