date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-11-05,sh.688023,75.0000,94.8000,68.6800,79.0600,56.5000,12655084,938630399.0000,3,81.731100,1,39.929200,0
2019-11-06,sh.688023,77.4000,91.9000,77.4000,88.5100,79.0600,7154366,605779685.0000,3,46.205500,1,11.953000,0
2019-11-07,sh.688023,94.7000,118.8000,94.7000,114.4400,88.5100,6527742,687020097.0000,3,42.158500,1,29.296100,0
2019-11-08,sh.688023,112.2400,120.5000,104.1100,120.0000,114.4400,5246200,585476279.0000,3,33.881800,1,4.858400,0
2019-11-11,sh.688023,116.0000,122.5000,109.0000,120.4000,120.0000,4100836,478748211.0000,3,26.484700,1,0.333300,0
2019-11-12,sh.688023,118.5100,119.4800,103.5200,110.0600,120.4000,3362975,375329639.0000,3,21.719300,1,-8.588000,0
2019-11-13,sh.688023,106.8800,129.9800,106.0500,125.2000,110.0600,3742103,439330114.0000,3,24.167800,1,13.756100,0
2019-11-14,sh.688023,124.5000,133.5000,120.0200,120.1300,125.2000,3352798,418886270.0000,3,21.653600,1,-4.049500,0
2019-11-15,sh.688023,120.0100,122.9600,115.0500,119.2400,120.1300,2267047,269857714.0000,3,14.641400,1,-0.740900,0
2019-11-18,sh.688023,117.4500,118.0000,108.7500,114.5900,119.2400,2239210,254116969.0000,3,14.461600,1,-3.899700,0
2019-11-19,sh.688023,114.5900,119.0000,112.0700,115.1000,114.5900,1524529,176092399.0000,3,9.846000,1,0.445100,0
2019-11-20,sh.688023,116.0000,121.8800,115.1000,118.2500,115.1000,1880135,223780092.0000,3,12.142600,1,2.736800,0
2019-11-21,sh.688023,118.0000,118.9400,108.1800,117.7700,118.2500,2264288,257043835.0000,3,14.623600,1,-0.405900,0
2019-11-22,sh.688023,116.6600,123.6200,115.0000,118.0100,117.7700,1451806,173493904.0000,3,9.376300,1,0.203800,0
2019-11-25,sh.688023,120.0000,123.8800,115.2600,117.0000,118.0100,1127461,134702717.0000,3,7.281500,1,-0.855900,0
2019-11-26,sh.688023,114.8800,115.0000,104.0000,104.0000,117.0000,2233922,246348990.0000,3,14.427500,1,-11.111100,0
2019-11-27,sh.688023,103.0200,105.7900,99.5900,103.6000,104.0000,2002969,204286211.0000,3,12.935900,1,-0.384600,0
2019-11-28,sh.688023,102.0100,108.8000,100.6100,103.8500,103.6000,1372197,144324126.0000,3,8.862100,1,0.241300,0
2019-11-29,sh.688023,102.1800,104.6800,100.0000,102.0000,103.8500,667340,68133759.0000,3,4.309900,1,-1.781400,0
2019-12-02,sh.688023,101.5800,111.0000,101.5000,105.8100,102.0000,1012950,107899169.0000,3,6.542000,1,3.735300,0
2019-12-03,sh.688023,104.5000,109.1600,102.6000,104.3300,105.8100,789339,83015570.0000,3,5.097800,1,-1.398700,0
2019-12-04,sh.688023,103.0000,106.3100,102.1000,104.7000,104.3300,526985,54879474.0000,3,3.403500,1,0.354600,0
2019-12-05,sh.688023,104.7100,107.4500,104.0400,105.1300,104.7000,816728,86352752.0000,3,5.274700,1,0.410700,0
2019-12-06,sh.688023,105.4500,106.4000,102.5200,103.3000,105.1300,565848,59011046.0000,3,3.654400,1,-1.740700,0
2019-12-09,sh.688023,102.0000,109.8300,101.5000,109.1000,103.3000,785139,83753727.0000,3,5.070700,1,5.614700,0
2019-12-10,sh.688023,108.3000,123.5500,108.3000,116.3100,109.1000,1615284,188594582.0000,3,10.432100,1,6.608600,0
2019-12-11,sh.688023,113.0400,119.0000,113.0400,118.3800,116.3100,870210,100756512.0000,3,5.620100,1,1.779700,0
2019-12-12,sh.688023,118.0000,126.6800,115.5000,115.5000,118.3800,1113271,133580942.0000,3,7.189900,1,-2.432800,0
2019-12-13,sh.688023,116.9000,119.9800,113.0000,114.2100,115.5000,753546,87008042.0000,3,4.866700,1,-1.116900,0
2019-12-16,sh.688023,114.9800,120.7100,113.6100,117.6000,114.2100,893875,105237902.0000,3,5.773000,1,2.968200,0
2019-12-17,sh.688023,117.0000,123.2000,117.0000,121.3000,117.6000,1292949,154496793.0000,3,8.350300,1,3.146300,0
2019-12-18,sh.688023,121.5800,145.5600,121.5800,145.5600,121.3000,1987004,266594843.0000,3,12.832800,1,20.000000,0
2019-12-19,sh.688023,146.3000,148.0000,135.8200,137.4300,145.5600,1302896,183444562.0000,3,8.414600,1,-5.585300,0
2019-12-20,sh.688023,134.8200,156.8800,134.8200,151.5000,137.4300,1366772,200801475.0000,3,8.827100,1,10.237900,0
2019-12-23,sh.688023,148.0000,161.0900,140.5100,148.1000,151.5000,1248940,187258080.0000,3,8.066100,1,-2.244200,0
2019-12-24,sh.688023,147.3000,151.5100,142.0000,149.8700,148.1000,797162,117147023.0000,3,5.148400,1,1.195100,0
2019-12-25,sh.688023,149.3000,160.6700,147.0000,155.3400,149.8700,1031760,161913355.0000,3,6.663500,1,3.649800,0
2019-12-26,sh.688023,150.0500,154.8800,149.8000,154.0000,155.3400,631064,95882895.0000,3,4.075600,1,-0.862600,0
2019-12-27,sh.688023,156.0000,156.0000,147.2500,148.1800,154.0000,507462,76754144.0000,3,3.277400,1,-3.779200,0
2019-12-30,sh.688023,143.7300,144.9900,137.2100,138.4100,148.1800,1257088,175888166.0000,3,8.118700,1,-6.593300,0
2019-12-31,sh.688023,138.4100,142.8300,136.2800,140.0000,138.4100,543415,75866207.0000,3,3.509600,1,1.148800,0
2020-01-02,sh.688023,140.9800,151.8800,137.0100,138.5000,140.0000,1456572,210223837.0000,3,9.407100,1,-1.071400,0
2020-01-03,sh.688023,138.8800,145.0000,138.0000,142.9900,138.5000,626015,88328760.0000,3,4.043000,1,3.241900,0
2020-01-06,sh.688023,141.0000,145.5000,139.0100,142.0000,142.9900,627392,89148872.0000,3,4.051900,1,-0.692400,0
2020-01-07,sh.688023,142.4900,170.0000,142.1300,167.4800,142.0000,1437393,227427597.0000,3,9.283200,1,17.943700,0
2020-01-08,sh.688023,163.3100,166.8000,157.5800,164.9500,167.4800,747272,121014863.0000,3,4.826200,1,-1.510600,0
2020-01-09,sh.688023,164.8000,178.0000,164.4800,165.2200,164.9500,754905,128358547.0000,3,4.875400,1,0.163700,0
2020-01-10,sh.688023,165.9500,173.9200,164.0000,169.2600,165.2200,777832,132565387.0000,3,5.023500,1,2.445200,0
2020-01-13,sh.688023,167.7900,174.6300,165.0000,171.1800,169.2600,470222,80326131.0000,3,3.036900,1,1.134300,0
2020-01-14,sh.688023,172.0000,182.0000,162.0000,165.1000,171.1800,1181479,200585207.0000,3,7.630400,1,-3.551800,0
2020-01-15,sh.688023,165.1600,169.9500,163.5500,165.8200,165.1000,554004,92233888.0000,3,3.578000,1,0.436100,0
2020-01-16,sh.688023,169.7000,171.8800,163.1800,169.0000,165.8200,717259,120074708.0000,3,4.632300,1,1.917700,0
2020-01-17,sh.688023,170.0000,187.7000,169.3500,180.8800,169.0000,1048633,188744221.0000,3,6.772400,1,7.029600,0
2020-01-20,sh.688023,177.5500,187.3000,170.0000,177.0000,180.8800,916111,163327014.0000,3,5.916600,1,-2.145100,0
2020-01-21,sh.688023,178.0000,193.0000,173.2700,184.4300,177.0000,931729,171279713.0000,3,6.017400,1,4.197700,0
2020-01-22,sh.688023,180.2800,195.0000,178.0400,189.0000,184.4300,546621,101782883.0000,3,3.530300,1,2.477900,0
2020-01-23,sh.688023,184.1300,196.0500,178.2700,179.4300,189.0000,644155,119720711.0000,3,4.160200,1,-5.063500,0
2020-02-03,sh.688023,160.0000,176.7800,147.2900,166.2000,179.4300,789019,129597363.0000,3,5.095800,1,-7.373300,0
2020-02-04,sh.688023,169.6000,199.2000,169.0400,199.2000,166.2000,759773,142623970.0000,3,4.906900,1,19.855600,0
2020-02-05,sh.688023,195.8000,209.8000,192.1500,193.6000,199.2000,756641,151244272.0000,3,4.886700,1,-2.811200,0
2020-02-06,sh.688023,196.2000,218.0000,196.2000,209.8000,193.6000,899989,187679392.0000,3,5.812500,1,8.367800,0
