date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-04-15,sh.688125,52.0000,52.0000,45.5000,46.4700,60.5500,8219969,387140978.1900,3,49.408200,1,-23.253500,0
2022-04-18,sh.688125,48.0000,48.6000,44.8000,45.0200,46.4700,4819930,221884024.5300,3,28.971400,1,-3.120300,0
2022-04-19,sh.688125,44.0000,44.5000,42.0200,42.2000,45.0200,4077015,175013298.7400,3,24.505900,1,-6.263900,0
2022-04-20,sh.688125,42.2100,42.5900,40.7900,41.0200,42.2000,2508746,104301035.6900,3,15.079500,1,-2.796200,0
2022-04-21,sh.688125,40.7900,41.6400,39.7800,39.9700,41.0200,1982114,80488240.7600,3,11.914000,1,-2.559700,0
2022-04-22,sh.688125,39.8500,41.3000,39.5000,39.7900,39.9700,1544542,62296329.3200,3,9.283900,1,-0.450300,0
2022-04-25,sh.688125,39.6600,39.8300,36.7300,36.7900,39.7900,1670603,63604044.4400,3,10.041600,1,-7.539600,0
2022-04-26,sh.688125,37.2700,37.2900,34.7100,34.9400,36.7900,1378200,49575702.7900,3,8.284000,1,-5.028500,0
2022-04-27,sh.688125,34.8300,36.5000,34.6100,36.0400,34.9400,1199037,42687135.4800,3,7.207100,1,3.148300,0
2022-04-28,sh.688125,35.6000,35.7200,34.3500,34.4000,36.0400,1407459,49181434.0000,3,8.459900,1,-4.550500,0
2022-04-29,sh.688125,35.0000,35.8100,34.5000,35.7000,34.4000,1407430,49817480.6400,3,8.459700,1,3.779100,0
2022-05-05,sh.688125,35.8500,36.4900,35.4800,36.3300,35.7000,1146357,41444754.0000,3,6.890500,1,1.764700,0
2022-05-06,sh.688125,35.3000,37.5700,35.1500,36.8400,36.3300,1350684,49685614.7700,3,8.118600,1,1.403800,0
2022-05-09,sh.688125,36.7000,37.1800,36.0000,36.4700,36.8400,1006489,36720282.8200,3,6.049800,1,-1.004300,0
2022-05-10,sh.688125,36.0000,37.5000,35.7800,37.3500,36.4700,1033623,38285971.9700,3,6.212900,1,2.412900,0
2022-05-11,sh.688125,37.2500,38.2800,36.9200,36.9500,37.3500,1374607,51892290.6300,3,8.262400,1,-1.071000,0
2022-05-12,sh.688125,36.9700,37.5300,36.5000,37.4000,36.9500,1052040,38926307.7500,3,6.323600,1,1.217900,0
2022-05-13,sh.688125,37.7000,37.8700,37.1500,37.4000,37.4000,708001,26475843.9200,3,4.255600,1,0.000000,0
2022-05-16,sh.688125,37.7200,37.8000,36.7500,36.9700,37.4000,671515,25012441.7400,3,4.036300,1,-1.149700,0
2022-05-17,sh.688125,36.7600,37.0200,36.4900,36.7900,36.9700,507536,18667565.6200,3,3.050700,1,-0.486900,0
2022-05-18,sh.688125,36.8000,38.1800,36.8000,37.6600,36.7900,1114457,41930275.8500,3,6.698700,1,2.364800,0
2022-05-19,sh.688125,37.0100,37.8600,36.8900,37.6700,37.6600,648095,24323568.9800,3,3.895500,1,0.026600,0
2022-05-20,sh.688125,37.9700,38.0900,37.3500,37.6800,37.6700,632010,23817419.7200,3,3.798900,1,0.026500,0
2022-05-23,sh.688125,37.6900,38.0500,37.5400,37.9000,37.6800,479610,18131889.1900,3,2.882800,1,0.583900,0
2022-05-24,sh.688125,37.9000,37.9100,35.7000,35.7000,37.9000,1159511,42574724.3000,3,6.969500,1,-5.804700,0
2022-05-25,sh.688125,35.7000,36.0600,35.6000,36.0600,35.7000,362780,13001567.3300,3,2.180600,1,1.008400,0
2022-05-26,sh.688125,36.0200,36.5700,35.7100,36.2600,36.0600,391617,14155390.7900,3,2.353900,1,0.554600,0
2022-05-27,sh.688125,36.2700,36.6100,35.9500,36.2500,36.2600,337632,12261682.4800,3,2.029400,1,-0.027600,0
2022-05-30,sh.688125,36.2800,36.4400,36.0400,36.3300,36.2500,347554,12607189.1000,3,2.089100,1,0.220700,0
2022-05-31,sh.688125,36.5500,39.4400,36.2000,38.8800,36.3300,1641969,62744092.4600,3,9.869500,1,7.019000,0
2022-06-01,sh.688125,38.5900,42.7000,38.3100,42.5500,38.8800,2997247,123350839.1200,3,18.015700,1,9.439300,0
2022-06-02,sh.688125,42.3100,44.0000,41.5000,43.3400,42.5500,2275054,97426857.0600,3,13.674800,1,1.856600,0
2022-06-06,sh.688125,43.6000,45.8800,43.3000,44.9500,43.3400,2309988,103618623.9400,3,13.884800,1,3.714800,0
2022-06-07,sh.688125,44.7100,45.6600,43.6000,44.0600,44.9500,1685362,74839977.8300,3,10.130300,1,-1.980000,0
2022-06-08,sh.688125,44.6100,44.6100,41.9600,42.8100,44.0600,1389914,59831854.4400,3,8.354400,1,-2.837000,0
2022-06-09,sh.688125,43.0600,43.7100,41.1100,41.6000,42.8100,918162,38721186.3500,3,5.518800,1,-2.826400,0
2022-06-10,sh.688125,41.6800,42.6400,41.3500,42.2000,41.6000,725051,30588592.3800,3,4.358100,1,1.442300,0
2022-06-13,sh.688125,42.1300,42.8800,41.3300,41.8100,42.2000,646881,27145482.3300,3,3.888200,1,-0.924200,0
2022-06-14,sh.688125,41.4100,41.7800,40.2100,41.5500,41.8100,636331,26087335.2100,3,3.824800,1,-0.621900,0
2022-06-15,sh.688125,41.5300,42.4800,41.3200,41.5700,41.5500,679023,28451152.6700,3,4.081400,1,0.048100,0
2022-06-16,sh.688125,41.7500,42.4200,41.4500,42.0900,41.5700,555032,23371498.8900,3,3.336200,1,1.250900,0
2022-06-17,sh.688125,42.0500,43.7700,41.4900,43.1800,42.0900,906036,38882198.3700,3,5.446000,1,2.589700,0
2022-06-20,sh.688125,42.9900,48.5000,42.6400,47.3700,42.1800,2370292,110081004.5600,3,14.247200,1,12.304400,0
2022-06-21,sh.688125,48.0000,48.0000,45.5100,45.8700,47.3700,1042108,48551802.0300,3,6.263900,1,-3.166600,0
2022-06-22,sh.688125,45.6500,46.4100,44.6000,45.5200,45.8700,879116,39979287.7300,3,5.284200,1,-0.763000,0
2022-06-23,sh.688125,46.1800,49.2500,45.7400,48.8000,45.5200,1692629,80976833.3200,3,10.174000,1,7.205600,0
2022-06-24,sh.688125,48.5800,50.9600,48.1000,49.6600,48.8000,1279487,64033822.3200,3,7.690700,1,1.762300,0
2022-06-27,sh.688125,49.2000,50.4000,48.7600,49.1500,49.6600,650239,32044151.5900,3,3.908400,1,-1.027000,0
2022-06-28,sh.688125,49.6100,49.8600,48.5000,49.0500,49.1500,414355,20278414.7700,3,2.490600,1,-0.203500,0
2022-06-29,sh.688125,49.0000,49.6100,46.5500,46.5500,49.0500,948280,45195673.1700,3,5.699900,1,-5.096800,0
2022-06-30,sh.688125,46.5500,48.4000,46.5500,47.5400,46.5500,496299,23651560.1700,3,2.983100,1,2.126700,0
2022-07-01,sh.688125,46.9000,48.1700,46.8200,47.0200,47.5400,326350,15483969.8400,3,1.961600,1,-1.093800,0
2022-07-04,sh.688125,47.0000,47.3500,46.2000,46.9600,47.0200,312063,14568578.5500,3,1.875700,1,-0.127600,0
2022-07-05,sh.688125,47.3900,47.5100,45.2000,45.8800,46.9600,570675,26276506.3600,3,3.430200,1,-2.299800,0
2022-07-06,sh.688125,45.7800,47.9900,45.6400,46.5000,45.8800,530601,24939428.1900,3,3.189300,1,1.351400,0
2022-07-07,sh.688125,47.4200,48.1700,46.1300,47.3300,46.5000,583801,27587597.6800,3,3.509100,1,1.784900,0
2022-07-08,sh.688125,46.6100,50.3600,46.6100,48.8200,47.3300,977351,47945425.2700,3,5.874600,1,3.148100,0
2022-07-11,sh.688125,48.8200,49.6000,47.2800,49.2500,48.8200,855474,41421345.4300,3,5.142000,1,0.880800,0
2022-07-12,sh.688125,49.9000,53.7500,48.3000,53.1000,49.2500,1973843,102136544.3000,3,11.864300,1,7.817300,0
2022-07-13,sh.688125,55.2200,56.0000,51.0500,54.5000,53.1000,1582350,84494582.1900,3,9.511100,1,2.636500,0
2022-07-14,sh.688125,54.2800,56.6300,53.0000,56.6300,54.5000,1074621,59539623.5900,3,6.459300,1,3.908300,0
2022-07-15,sh.688125,56.6300,60.8300,55.5500,58.8500,56.6300,1779200,105499641.3300,3,10.694300,1,3.920200,0
2022-07-18,sh.688125,59.0200,60.5000,58.4000,60.2000,58.8500,1138873,68004580.9900,3,6.845500,1,2.294000,0
2022-07-19,sh.688125,59.6300,61.3700,58.8200,59.0800,60.2000,1097257,65756889.2600,3,6.595300,1,-1.860500,0
2022-07-20,sh.688125,59.4000,63.8000,59.4000,63.8000,59.0800,1835631,114010252.9100,3,11.033500,1,7.989200,0
2022-07-21,sh.688125,63.8100,66.2000,61.2000,63.1500,63.8000,1351611,86295372.7600,3,8.124200,1,-1.018800,0
2022-07-22,sh.688125,63.6200,67.6000,61.8500,66.5400,63.1500,1346274,88304252.8000,3,8.092100,1,5.368200,0
2022-07-25,sh.688125,66.8000,68.6800,64.5700,66.9000,66.5400,872822,58043016.6100,3,5.246300,1,0.541000,0
2022-07-26,sh.688125,65.8100,67.8800,61.8500,65.5100,66.9000,1551989,100502316.7100,3,9.328600,1,-2.077700,0
2022-07-27,sh.688125,64.0000,66.0400,63.0000,65.4300,65.5100,655785,42646206.7900,3,3.941800,1,-0.122100,0
2022-07-28,sh.688125,65.4300,69.5000,64.3400,66.5500,65.4300,882217,59744864.3600,3,5.302800,1,1.711800,0
2022-07-29,sh.688125,68.3000,68.3000,64.9600,65.4000,66.5500,683632,45145835.3300,3,4.109100,1,-1.728000,0
2022-08-01,sh.688125,64.2400,67.3400,64.1600,65.0300,65.4000,694146,45286462.5000,3,4.172300,1,-0.565700,0
2022-08-02,sh.688125,65.4000,65.4000,61.8400,62.8100,65.0300,717734,45246111.9000,3,4.314100,1,-3.413800,0
2022-08-03,sh.688125,63.2200,65.6000,61.0000,61.3200,62.8100,849003,53502625.2000,3,5.103100,1,-2.372200,0
