date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-01-30,sh.603082,46.0000,55.8000,44.6000,46.4000,21.2800,23752289,1146496400.9300,3,74.703400,1,118.045100,0
2024-01-31,sh.603082,43.0000,49.1000,43.0000,47.7000,46.4000,18251612,852477270.0900,3,57.403200,1,2.801700,0
2024-02-01,sh.603082,46.0000,47.8700,39.1000,39.9000,47.7000,17144847,748785057.2900,3,53.922300,1,-16.352200,0
2024-02-02,sh.603082,39.9100,42.5200,37.9600,39.0800,39.9000,15450230,618449280.2600,3,48.592600,1,-2.055100,0
2024-02-05,sh.603082,36.5300,37.1000,29.0000,29.1100,39.0800,15768531,526588318.2800,3,49.593700,1,-25.511800,0
2024-02-06,sh.603082,27.3900,30.6000,26.2000,28.7100,29.1100,16293112,455938073.0900,3,51.243500,1,-1.374100,0
2024-02-07,sh.603082,28.7500,30.0000,25.8400,25.8400,28.7100,14303526,399225445.4500,3,44.986100,1,-9.996500,0
2024-02-08,sh.603082,25.8000,28.4200,24.5500,27.6600,25.8400,13471617,361913641.3200,3,42.369600,1,7.043300,0
2024-02-19,sh.603082,28.6000,30.4300,28.2800,30.4300,27.6600,12819849,378837563.8300,3,40.319800,1,10.014500,0
2024-02-20,sh.603082,32.5600,33.4700,32.0000,33.4700,30.4300,3935733,129664597.1100,3,12.378300,1,9.990100,0
2024-02-21,sh.603082,34.9900,36.8200,32.4400,36.0000,33.4700,20924222,740012350.3300,3,65.808900,1,7.559000,0
2024-02-22,sh.603082,33.3800,36.3400,32.7600,35.4000,36.0000,16573489,574712906.6700,3,52.125400,1,-1.666700,0
2024-02-23,sh.603082,35.4400,38.9400,35.4400,38.9400,35.4000,19153473,719178385.1100,3,60.239700,1,10.000000,0
2024-02-26,sh.603082,42.8300,42.8300,41.5500,42.8300,38.9400,8633506,369053665.9800,3,27.153300,1,9.989700,0
2024-02-27,sh.603082,43.0000,47.1100,40.6900,44.0200,42.8300,22444175,998776415.2100,3,70.589300,1,2.778400,0
2024-02-28,sh.603082,42.7500,44.5100,39.6200,39.6200,44.0200,17061726,718767246.4900,3,53.660900,1,-9.995500,0
2024-02-29,sh.603082,38.6000,40.2600,37.3000,40.2300,39.6200,13504023,528860565.0700,3,42.471600,1,1.539600,0
2024-03-01,sh.603082,40.8000,40.9700,38.2100,38.8800,40.2300,9892542,389243399.4600,3,31.113100,1,-3.355700,0
2024-03-04,sh.603082,38.1100,38.6500,36.8800,37.3800,38.8800,9147826,343585069.7000,3,28.770900,1,-3.858000,0
2024-03-05,sh.603082,36.9600,41.1200,36.2800,40.7000,37.3800,15125878,591299935.4600,3,47.572500,1,8.881800,0
2024-03-06,sh.603082,39.5600,40.5800,39.0000,39.2200,40.7000,10480897,414576109.5400,3,32.963500,1,-3.636400,0
2024-03-07,sh.603082,40.3100,42.8600,38.6000,38.7200,39.2200,11598049,471549762.3000,3,36.477100,1,-1.274900,0
2024-03-08,sh.603082,38.3000,39.1900,37.5500,38.4500,38.7200,6925221,265256601.7500,3,21.780500,1,-0.697300,0
2024-03-11,sh.603082,38.2800,39.1000,37.4400,38.6800,38.4500,6141763,234055954.2700,3,19.316500,1,0.598200,0
2024-03-12,sh.603082,38.5100,42.4000,37.8000,41.3000,38.6800,12556020,503740555.6000,3,39.490000,1,6.773500,0
2024-03-13,sh.603082,41.3000,41.7200,40.0500,40.0800,41.3000,9403205,383739340.2400,3,29.574100,1,-2.954000,0
2024-03-14,sh.603082,40.0700,41.4500,38.8800,40.4700,40.0800,7757284,312059836.5800,3,24.397500,1,0.973100,0
2024-03-15,sh.603082,39.4800,40.9600,39.1200,40.7800,40.4700,6741204,271876244.6700,3,21.201800,1,0.766000,0
2024-03-18,sh.603082,42.0000,42.3500,40.6000,40.9700,40.7800,7248709,298207163.2400,3,22.797900,1,0.465900,0
2024-03-19,sh.603082,40.7000,40.9300,39.7500,39.9700,40.9700,5751309,231325956.6200,3,18.088500,1,-2.440800,0
2024-03-20,sh.603082,39.7900,40.3200,39.2200,40.0000,39.9700,4821108,191706929.4800,3,15.162900,1,0.075100,0
2024-03-21,sh.603082,39.6900,40.1500,39.2800,39.2800,40.0000,3802533,150497823.1100,3,11.959400,1,-1.800000,0
2024-03-22,sh.603082,39.2700,39.4600,37.3700,37.5000,39.2800,4882598,185807666.5700,3,15.356300,1,-4.531600,0
2024-03-25,sh.603082,37.0000,37.2500,34.6300,34.6800,37.5000,5302478,190669062.0700,3,16.676800,1,-7.520000,0
2024-03-26,sh.603082,34.9000,35.1800,34.0100,34.7900,34.6800,3374832,116944541.8300,3,10.614200,1,0.317200,0
2024-03-27,sh.603082,34.4000,34.6500,32.7000,32.7100,34.7900,3123602,104658642.9300,3,9.824100,1,-5.978700,0
